title,author,genre_1,genre_2,brank,rate,count
해리 포터와 비밀의 방 2(해리포터 20주년 개정판),J. K. 롤링,"소설, 소설, 소설, 소설, ","영미소설, 판타지소설, 영미소설, 드라마/영화소설, 장르소설, 판타지소설, 장르소설, 드라마/영화소설, ",233,9.86,160
순이 삼촌,현기영,"소설, ","한국소설, 한국소설일반, ",234,9.76,115
가면산장 살인사건,히가시노 게이고,"소설, 소설, ","일본소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",235,9.38,941
천년의 사랑,양귀자,"소설, ","한국소설, 한국소설일반, ",236,9.88,24
친구 여동생이 나한테만 짜증나게 군다 8,미카와 고스트,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",240,10.0,8
학전도시 애스터리스크 17,Yu Miyazaki,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",241,10.0,1
정치인,정진영,"소설, ","한국소설, 한국소설일반, ",242,10.0,4
던전에서 만남을 추구하면 안 되는 걸까 18,오모리 후지노,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",243,10.0,6
청춘 돼지는 마이 스튜던트의 꿈을 꾸지 않는다 12,카모시다 하지메,"소설, 소설, ","일본소설, 라이트노벨, 라이트노벨, 일본라이트노벨, ",244,10.0,17
취미는 사생활,장진영,"소설, ","한국소설, 한국소설일반, ",245,10.0,7
13.67,찬호께이,"소설, 소설, ","중국소설, 미스터리/스릴러소설, 장르소설, 미스터리/스릴러소설, ",246,10.0,8
급류,정대건,"소설, ","한국소설, 한국소설일반, ",247,9.83,17
달팽이 식당,오가와 이토,"소설, ","일본소설, 일본소설일반, ",248,9.56,83
랑과 나의 사막,천선란,"소설, ","한국소설, 한국소설일반, ",249,9.91,82
"여기는 커스터드, 특별한 도시락을 팝니다",가토 겐,"소설, ","일본소설, 일본소설일반, ",250,9.53,111
