,title,author,genre_1,genre_2,brank,rate,count,isbn
216,감각통합 Q&A,Reiko Tsuchida 외,"인문, 인문, 대학교재, ","심리학, 발달단계별심리, 대학교재, 심리학, 인문, 심리학, ",762,7.14,4.0,9788960698734.0
217,교사와 학생 사이,하임 G. 기너트,"인문, ","교육학, 교육에세이, ",763,9.62,17.0,9788990220141.0
218,언어: 풀어쓴 언어학 개론,강범모,"인문, ","언어학, 언어학일반, ",764,9.52,11.0,9788968178337.0
219,칼 융 레드 북,칼 구스타프 융,"인문, ","심리학, 심리학자, ",765,9.76,42.0,9791159201172.0
220,정선 목민심서,정약용,"인문, ","철학, 한국철학, ",766,9.9,29.0,9788936477820.0
221,교육평가의 기초,성태제,"인문, 인문, 대학교재, ","교육학, 교육과정/교육평가, 대학교재, 교육학, 인문, 교육학, ",767,9.53,17.0,9788999718649.0
222,설민석의 삼국지 1,설민석,"인문, ","인문학일반, 인문교양, ",768,9.68,1292.0,9788933870792.0
223,어느 날 갑자기 공황이 찾아왔다,클라우스 베른하르트,"인문, 인문, ","심리학, 교양심리, 심리학, 심리치료, ",769,9.23,53.0,
224,ABA실천 매뉴얼,후지사카 류지 외,"인문, 인문, 대학교재, ","특수교육, 장애인, 대학교재, 교육학, 인문, 교육학, ",770,10.0,10.0,
225,쇼펜하우어 문장론,아르투르 쇼펜하우어,"인문, ","철학, 서양철학자, ",771,9.29,23.0,9788991974517.0
226,상담 수퍼비전의 이론과 실제,유영권 외,"인문, 인문, 대학교재, ","심리학, 심리치료, 대학교재, 심리학, 인문, 심리학, ",772,8.0,5.0,9788999716218.0
227,트라우마와 몸,Pat Ogden 외,"인문, 인문, 대학교재, ","심리학, 심리치료, 대학교재, 심리학, 인문, 심리학, ",773,10.0,3.0,9788999717185.0
228,기록관리의 이론과 실제,한국기록관리학회,"인문, 인문, 대학교재, ","문헌정보학, 기록학, 대학교재, 문헌정보학, 인문, 문헌정보학, ",774,10.0,14.0,9788993419979.0
229,노자 도덕경,노자,"인문, ","철학, 중국철학자, ",775,9.74,34.0,9791160801576.0
230,존 롤스 정의론,황경식,"인문, ","인문고전총서, 인문고전총서일반, ",776,9.39,59.0,9788965706540.0
231,캐릭터 만들기의 모든 것 2: 106가지 부정적 성격,앤절라 애커먼 외,"인문, ","독서/글쓰기, 글쓰기, ",777,9.94,46.0,
232,캐릭터 만들기의 모든 것 1: 99가지 긍정적 성격,앤절라 애커먼 외,"인문, ","독서/글쓰기, 글쓰기, ",778,9.89,54.0,
233,생각하고 소통하는 글쓰기,김성수 외,"인문, ","독서/글쓰기, 글쓰기, ",779,8.68,9.0,9788964361375.0
234,SCT 문장완성검사의 이해와 활용,이우경,"인문, 인문, 대학교재, ","심리학, 심리치료, 대학교재, 심리학, 인문, 심리학, ",780,10.0,2.0,
235,애착수업,오카다 다카시,"인문, ","심리학, 교양심리, ",781,9.57,44.0,
236,다르면 다를수록,최재천,"인문, 시/에세이, ","인문학일반, 인문교양, 나라별 에세이, 한국에세이, ",782,9.62,16.0,
237,변신 이야기,오비디우스,"인문, ","인문고전총서, 인문고전총서일반, ",783,9.72,47.0,
238,삶은 왜 짐이 되었는가,박찬국,"인문, ","철학, 서양철학자, ",784,9.84,53.0,
239,걷기의 인문학,리베카 솔닛,"인문, ","인문학일반, 인문교양, ",785,9.4,53.0,
240,난처한 미술 이야기 4,양정무,"인문, 예술/대중문화, ","인문교양총서, 인문교양총서일반, 미술, 교양미술, ",786,9.61,128.0,9788964359419.0
241,대통령의 글쓰기,강원국,"인문, ","독서/글쓰기, 글쓰기, ",787,9.63,423.0,9788994612959.0
242,타자의 추방,한병철,"인문, ","철학, 교양철학, ",788,9.61,50.0,9788932029863.0
243,한국어 교육의 이론과 실제 2,서울대학교 한국어문학연구소 외,"인문, ","교육학, 교과교육과정, ",789,9.29,11.0,
244,아무것도 하지 않으면 아무 일도 일어나지 않는다,기시미 이치로,"인문, ","심리학, 교양심리, ",790,9.14,81.0,9788952235107.0
245,"언플래트닝, 생각의 형태",닉 수재니스,"인문, 만화, ","인문학일반, 지식과학문, 그래픽노블, 그래픽노블일반, ",791,9.24,148.0,9791159310775.0
246,백년을 살아보니,김형석,"인문, ","철학, 철학에세이, ",792,9.34,266.0,9791185716435.0
247,사마천 사기 56,사마천,"인문, 인문, ","철학, 동양고전, 중국문학론, 사기열전, ",793,9.5,66.0,
248,리바이어던,토머스 홉스,"인문, 정치/사회, ","인문교양총서, 인문교양총서일반, 정치/외교, 정치일반, ",794,9.05,41.0,
249,필사의 기초,조경국,"인문, ","독서/글쓰기, 글쓰기, ",795,9.49,24.0,9791185152486.0
250,기술복제시대의 예술작품 사진의 작은 역사 외,발터 벤야민,"인문, ","철학, 교양철학, ",796,9.58,36.0,9788987671826.0
251,한비자,한비자,"인문, ","철학, 중국철학자, ",797,9.66,93.0,9788958623236.0
252,어른이 된 영재들,잔 시오파생,"인문, ","심리학, 교양심리, ",798,9.26,12.0,9788994140179.0
253,에로스의 종말,한병철 외,"인문, ","철학, 서양철학일반, ",799,9.08,28.0,9788932027838.0
254,자존감의 여섯 기둥,너새니얼 브랜든,"인문, ","심리학, 교양심리, ",800,9.69,38.0,
255,1일 1페이지 인문학 여행 한국편,김종원,"인문, ","인문학일반, 인문교양, ",701,9.64,10.0,9791140701797.0
256,난처한 클래식 수업 7,민은기,"인문, ","인문교양총서, 인문교양총서일반, ",702,9.5,9.0,9791162732540.0
257,글쓰기의 최전선,은유,"인문, ","독서/글쓰기, 글쓰기, ",703,9.38,13.0,9791192099118.0
258,그리스 신화,아폴로도로스,"인문, 역사/문화, ","인문교양총서, 인문교양총서일반, 신화, 그리스로마신화, ",704,10.0,5.0,9788937470257.0
259,Mmpi-2/A,성태훈,"인문, ","심리학, 심리치료, ",705,8.75,2.0,
260,가치 있는 삶,마리 루티,"인문, ","인문학일반, 인문교양, ",706,9.04,19.0,9788932474779.0
261,"잡았다, 네가 술래야",폴 메이슨 외,"인문, ","심리학, 심리이론, ",707,10.0,1.0,9788991136380.0
262,초역 논어의 말,나가오 다케시,"인문, ","철학, 동양고전, ",708,10.0,2.0,
263,함께 걷는 느린 학습자 학교생활,이보람,"인문, 인문, ","교육학, 교육에세이, 특수교육, 발달장애, ",709,9.77,21.0,9791168015326.0
264,예민함이라는 선물,이미로,"인문, ","심리학, 교양심리, ",710,9.55,47.0,9791169372374.0
265,오늘도 시작하지 못하는 당신을 위해,윤닥(윤동욱),"인문, ","심리학, 교양심리, ",711,10.0,19.0,9791157845941.0
266,SEE Learning(씨 러닝) 사회 정서 인성 교육과정,Center for Contemplative Science and Compassion-Based Ethics at Emory University,"인문, 인문, 대학교재, ","교육학, 사회교육/평생교육, 대학교재, 교육학, 인문, 교육학, ",712,0.0,,9791165193072.0
267,쉽게 풀어 쓴 국어사 개론,신승용,"인문, ","언어학, 국어학, ",713,10.0,3.0,
268,2022~2023 큰별쌤 최태성의 별별한국사 시대별 기출문제집 초등 한국사능력검정시험,최태성,"인문, ","언어학, 한국어/한국사/한자능력시험, ",714,10.0,18.0,9791138905275.0
269,해커스 한국사능력검정시험 회차별 기출문제집 심화(1급·2급·3급),해커스 한국사연구소,"인문, ","언어학, 한국어/한국사/한자능력시험, ",715,10.0,23.0,9788969651716.0
270,논문의 힘,김기란,"인문, ","독서/글쓰기, 글쓰기, ",716,10.0,10.0,9788965642770.0
271,별별학습코칭 워크북,김선자 외,"인문, ","교육학, 교수/학습법, ",717,0.0,,9791196568566.0
272,역사 (헤로도토스),헤로도토스,"인문, ","인문고전총서, 인문고전총서일반, ",718,9.7,78.0,
273,상담면접의 실제,천성문 외,"인문, 인문, 대학교재, ","심리학, 심리치료, 대학교재, 심리학, 인문, 심리학, ",719,10.0,2.0,
274,투명한 힘,캐슬린 스튜어트,"인문, 역사/문화, ","인문학일반, 인문교양, 역사일반, 인류학, ",720,10.0,5.0,9791189346324.0
275,2022 한자능력검정시험 4급,남기탁,"인문, 취업/수험서, ","언어학, 한국어/한국사/한자능력시험, 한자능력시험, ",721,10.0,9.0,9791191238242.0
276,적천수,유백온,"인문, ","역학/사주, 사주학, ",722,8.39,11.0,
277,우리는 지금 문학이 필요하다,앵거스 플레처,"인문, ","심리학, 교양심리, ",723,9.61,73.0,9791135472176.0
278,세상에서 가장 행복한 100세 노인,에디 제이쿠,"인문, ","심리학, 교양심리, ",724,9.85,50.0,9791157687664.0
279,보이지 않는 것에 의미가 있다,김혜남,"인문, ","심리학, 교양심리, ",725,9.9,50.0,9791191393460.0
280,인간으로 사는 일은 하나의 문제입니다,김영민,"인문, 정치/사회, ","인문학일반, 인문교양, 정치/외교, 정치일반, ",726,9.56,89.0,
281,모녀의 세계,김지윤,"인문, ","심리학, 교양심리, ",727,9.7,65.0,9791167370945.0
282,발달장애 청소년 자립생활 체계적으로 지원하기,변관석,"인문, ","특수교육, 발달장애, ",728,10.0,1.0,9791168011731.0
283,유시민의 논술특강(큰글자책),유시민,"인문, ","독서/글쓰기, 글쓰기, ",729,7.5,3.0,9788965137214.0
284,리추얼의 종말,한병철,"인문, ","인문학일반, 인문교양, ",730,9.9,35.0,9788934980285.0
285,논증의 탄생,조셉 윌리엄스 외,"인문, 인문, ","철학, 주제별철학, 독서/글쓰기, 글쓰기, ",731,9.14,20.0,9791188392063.0
286,유치원 교실놀이 100,김연희 외,"인문, 인문, 대학교재, ","유아교육, 유아각과교육, 대학교재, 교육학, 인문, 교육학, ",732,10.0,5.0,
287,행복의 지도,에릭 와이너,"인문, ","철학, 교양철학, ",733,9.59,120.0,9791167740021.0
288,캐릭터 직업 사전,안젤라 애커만 외,"인문, ","독서/글쓰기, 글쓰기, ",734,9.67,38.0,9791155813973.0
289,교육과 일의 세계,장원섭,"인문, ","교육학, 교육에세이, ",735,10.0,1.0,9788999724954.0
290,언어재활 워크북: 이해력 편,김주연 외,"인문, ","특수교육, 언어장애, ",736,9.82,11.0,9788999724565.0
291,수도자처럼 생각하기,제이 셰티,"인문, 자기계발, 자기계발, ","철학, 교양철학, 성공/처세, 자기관리/처세, 자기능력계발, 마인드콘트롤/감정, ",737,9.44,106.0,9791130638201.0
292,느린 학습자의 공부,박찬선,"인문, 인문, ","특수교육, 특수교육이론, 교육학, 사회교육/평생교육, ",738,9.53,22.0,9791166034497.0
293,냄새의 심리학,베티나 파우제,"인문, 자기계발, ","심리학, 교양심리, 성공/처세, 자기관리/처세, ",739,9.33,26.0,9791191013207.0
294,반야심경 마음공부,페이융,"인문, 인문, 종교, ","인문학일반, 인문교양, 철학, 동양철학일반, 불교, 불교경전, ",740,9.77,55.0,9791190826556.0
295,가족의 두 얼굴(리커버),최광현,"인문, ","심리학, 심리치료, ",741,10.0,14.0,9788960518636.0
296,40가지 상담기법,Bradley T. Erford,"인문, 인문, 대학교재, ","심리학, 심리치료, 대학교재, 심리학, 인문, 심리학, ",742,10.0,3.0,9788999723896.0
297,디테일 사전: 도시편,안젤라 애커만 외,"인문, 예술/대중문화, ","독서/글쓰기, 글쓰기, 영화, 드라마/시나리오, ",743,9.57,42.0,9791155813607.0
298,뇌 과학이 인생에 필요한 순간,김대수,"인문, ","인문학일반, 인문교양, ",744,9.72,81.0,9791130637112.0
299,논문 작성 연습,이윤진,"인문, ","독서/글쓰기, 글쓰기, ",745,9.58,8.0,9788968172953.0
300,"질적연구, 계획에서 글쓰기까지",전가일,"인문, ","교육학, 교육행정/교육경영, ",746,10.0,5.0,9791128885310.0
301,공자가어 2,왕숙,"인문, ","인문교양총서, 인문교양총서일반, ",747,9.77,17.0,9791159932168.0
302,탈합치: 예술과 실존의 근원,프랑수아 줄리앙,"인문, ","철학, 서양철학일반, ",748,10.0,8.0,9791191278064.0
303,난처한 클래식 수업 5,민은기,"인문, 예술/대중문화, ","인문교양총서, 인문교양총서일반, 음악, 성악/가곡, ",749,9.72,25.0,9791162731383.0
304,삶의 덫에서 벗어나 새로운 나를 열기,제프리 E. 영 외,"인문, ","심리학, 심리치료, ",750,9.87,21.0,9791195504725.0
305,나를 들여다보는 마음수업,이선이,"인문, ","심리학, 교양심리, ",651,10.0,8.0,9791189347185.0
306,주역 대관(중),이윤숙,"인문, ","역학/사주, 역학, ",652,0.0,,9791197918933.0
307,다산의 마음을 찾아: 다산학을 말하다 1,박석무,"인문, ","철학, 한국철학, ",653,10.0,1.0,9788932323114.0
308,다산의 생각을 따라: 다산학을 말하다 2,박석무,"인문, ","철학, 한국철학, ",654,0.0,,9788932323121.0
309,프로메테우스의 야망,윌리엄 뉴먼,"인문, ","인문학일반, 인문교양, ",655,10.0,1.0,9788964452653.0
310,심리학과 종교,칼 구스타프 융,"인문, ","심리학, 심리이론, ",656,10.0,1.0,9791159201561.0
311,더 웨이,바이즈,"인문, ","철학, 중국철학자, ",657,10.0,2.0,9791193127261.0
312,사랑의 단상,롤랑 바르트,"인문, 인문, ","심리학, 교양심리, 철학, 서양철학일반, ",658,0.0,,9788980389483.0
313,키루스의 교육,크세노폰,"인문, 인문, 자기계발, ","인문교양총서, 인문교양총서일반, 교육학, 교육학이론, 비즈니스능력계발, 리더십향상, ",659,10.0,21.0,9791139710816.0
314,오프모던의 건축,스베틀라나 보임,"인문, ","인문교양총서, 인문교양총서일반, ",660,0.0,,9788932041537.0
315,사마천 사기 100문 100답,김영수,"인문, 인문, ","철학, 동양고전, 중국문학론, 사기열전, ",661,9.9,23.0,9791191215731.0
316,지리를 알면 보이는 것들,정은혜,"인문, 역사/문화, ","인문학일반, 인문교양, 지리학, 지리이야기, ",662,10.0,7.0,
317,법정으로 간 정신과 의사,차승민,"인문, ","인문학일반, 인문교양, ",663,10.0,2.0,9791192465067.0
318,사고력 함양을 위한 서·논술형 평가 도구 개발 이론과 실제,김선 외,"인문, ","교육학, 교육과정/교육평가, ",664,0.0,,
319,이상한 나라의 평범한 심리상담소,이원이,"인문, ","심리학, 교양심리, ",665,10.0,11.0,9791170434108.0
320,"아이와 찾은 한자, 한 단어 마음 공부",우승희,"인문, ","언어학, 한문학, ",666,10.0,1.0,
321,아리스토텔레스 선집,아리스토텔레스,"인문, 인문, 대학교재, ","철학, 서양철학자, 대학교재, 철학, 인문, 철학, ",667,0.0,,9788964452585.0
322,2024 해커스임용 김진구 전문상담 기본개념 3 필수 기본서,김진구,"인문, ","임용고시, 전공과목별임용고시, ",668,10.0,2.0,9791168806948.0
323,명상록,마르쿠스 아우렐리우스,"인문, 시/에세이, 시/에세이, 자기계발, ","인문학일반, 인문교양, 테마에세이, 명언/지혜, 나라별 에세이, 기타국가에세이, 성공/처세, 삶의지혜/조언, ",90,9.64,352.0,9791187142379.0
324,명상록,마르쿠스 아우렐리우스,"인문, 시/에세이, 시/에세이, 자기계발, ","인문학일반, 인문교양, 테마에세이, 명언/지혜, 나라별 에세이, 기타국가에세이, 성공/처세, 삶의지혜/조언, ",90,9.64,352.0,9788991290099.0
325,명상록,마르쿠스 아우렐리우스,"인문, 시/에세이, 시/에세이, 자기계발, ","인문학일반, 인문교양, 테마에세이, 명언/지혜, 나라별 에세이, 기타국가에세이, 성공/처세, 삶의지혜/조언, ",90,9.64,352.0,9791189550677.0
326,천년의 독서,미사고 요시아키,"인문, ","독서/글쓰기, 독서, ",670,10.0,5.0,9791192421216.0
327,문명의 바깥으로,나희덕,"인문, ","문학이론, 시론, ",671,0.0,,9788936463625.0
328,알수록 재미있는 교실 속 디지털 놀이,김연희 외,"인문, 인문, 인문, 대학교재, ","유아교육, 유아교육이론, 유아교육, 유아각과교육, 대학교재, 교육학, 인문, 교육학, ",672,10.0,1.0,
329,자유론,존 스튜어트 밀,"인문, ","철학, 철학이론, ",673,10.0,9.0,9791187142447.0
330,자유론,존 스튜어트 밀,"인문, ","철학, 철학이론, ",673,10.0,9.0,9791189550998.0
331,행복은 뇌 안에,장동선 외,"인문, 과학, ","심리학, 심리이론, 교양과학, 뇌과학, ",674,10.0,13.0,9791169090469.0
332,카를 융 인간의 이해,가와이 하야오,"인문, ","심리학, 심리학자, ",675,10.0,5.0,9791166891465.0
333,흔들릴 때마다 걸었습니다,박대영,"인문, 자기계발, ","인문학일반, 인문교양, 자기능력계발, 마인드콘트롤/감정, ",676,10.0,12.0,9791188272457.0
334,비폭력으로 살아가기,에디 자카파,"인문, ","인문학일반, 인문교양, ",677,10.0,5.0,9791185121383.0
335,"도스토옙스키의 철도, 칼, 그림",석영중,"인문, 예술/대중문화, ","세계문학론, 러시아문학이론, 연극, 연기/작가/연출, ",678,10.0,5.0,
336,평생 써먹는 놀이 수업 280,정다해,"인문, ","교육학, 교육방법, ",679,10.0,33.0,9788976045713.0
337,두근두근 놀이수업,허승환 외,"인문, ","유아교육, 유아각과교육, ",680,10.0,21.0,9791159292446.0
338,사랑이 묻고 인문학이 답하다,정지우,"인문, ","인문학일반, 인문교양, ",681,9.8,19.0,9791192730189.0
339,옥스퍼드 오늘의 단어책,수지 덴트,"인문, 인문, 외국어, ","언어학, 언어학일반, 인문학일반, 인문교양, 영어일반, 영어단어/어휘, ",682,9.69,23.0,9791155815762.0
340,이동건의 유아임용 기출의 구조화: 문제편,이동건,"인문, ","임용고시, 유치원임용고시, ",683,10.0,3.0,9791163284956.0
341,이동건의 유아임용 기출의 구조화: 해설편,이동건,"인문, ","임용고시, 유치원임용고시, ",684,10.0,2.0,9791163284963.0
342,언어재활 워크북 표현력 편,서혜경 외,"인문, 인문, 대학교재, ","특수교육, 언어장애, 대학교재, 교육학, 인문, 교육학, ",685,9.77,7.0,9788999728020.0
343,2023 설민석 한국사능력검정시험 기출문제집 심화(1·2·3급),설민석,"인문, ","언어학, 한국어/한국사/한자능력시험, ",686,10.0,1.0,9791191496970.0
344,2023 임상심리사 2급 필기 기출문제집,JH상담심리연구소,"인문, ","심리학, 심리이론, ",687,10.0,1.0,9788999728402.0
345,2023 임상심리사 2급 필기 기출문제집,JH상담심리연구소,"인문, ","심리학, 심리이론, ",687,10.0,1.0,9791166430756.0
346,2023 쉽게 알고 배우는 이지 상공회의소 한자 1급,한자문제연구소 외,"인문, 취업/수험서, ","언어학, 한국어/한국사/한자능력시험, 한자능력시험, ",688,10.0,6.0,9791138333078.0
347,2023 진흥회 한자자격시험 3급 한 권으로 끝내기,박원길 외,"인문, 취업/수험서, ","언어학, 한국어/한국사/한자능력시험, 한자능력시험, ",689,10.0,4.0,9791138337243.0
348,"다시, 어떻게 읽을 것인가",나오미 배런,"인문, ","인문학일반, 인문교양, ",690,9.51,202.0,
349,2023 한국어교육능력검정시험 교안작성연습,정은화,"인문, ","언어학, 한국어/한국사/한자능력시험, ",691,10.0,7.0,9791138336192.0
350,2023 전한길 한능검 개념 기출 한 컷,전한길,"인문, ","언어학, 한국어/한국사/한자능력시험, ",692,10.0,9.0,9791191454215.0
351,그림책 특수교육에 날개를 달다,고인영,"인문, 인문, ","특수교육, 특수교육이론, 교육학, 교육방법, ",693,10.0,2.0,9791164671229.0
352,감정의 철학 수업,겐카 도루,"인문, ","철학, 교양철학, ",694,10.0,2.0,
