제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"139","그리스 로마 신화","글: 박시연 ;그림: 최우빈","북이십일","2017","1","9788950971366","206",
"140","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","3","9791130696577","205",
"140","베싸육아 :0~4세 알기만 해도 차이를 만드는 육아 대원칙 6 ","박정은 지음","래디시","2023","","9791198129109","205",
"140","천 개의 파랑 :천선란 장편소설 ","지은이: 천선란","허블","2020","","9791190090261","205",
"140","추리 천재 엉덩이 탐정 5 - 유적에서 날아온 SOS 사건","트롤","아이세움","2017","","9791162332542","205",
"140","흔한남매 과학 탐험대 6 : 물리 2","흔한남매 (원작), 이현진, 닥터 스코 (글), 김덕영 (그림), 김희목 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2022","","9788934946793","205",
"145","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","9","9791164134090","204",
"146","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","3","9788937889714","203",
"146","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","6","9791162335123","203",
"146","아주 작은 습관의 힘 :최고의 변화는 어떻게 만들어지는가 ","제임스 클리어 지음 ;이한이 옮김","비즈니스북스","2019","","9791162540640","203",
"149","가재가 노래하는 곳 :델리아 오언스 장편소설 ","지은이: 델리아 오언스 ;옮긴이: 김선형","살림출판사","2019","","9788952240569","202",
"149","두더지의 여름 :김상근 그림책 ","글·그림: 김상근","사계절(사계절출판사)","2022","","9791160949599","202",
"149","사자마트","김유 (지은이), 소복이 (그림)","천개의바람","2023","","9791165734091","202",
"149","아홉 살 마음 사전 ","박성우 글 ;김효은 그림","창비","2017","","9788936447014","202",
"153","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","1","9791164060481","201",
"153","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","1","9791130679990","201",
"153","오싹오싹 당근 ","애런 레이놀즈 글 ;홍연미 옮김","알에이치코리아","2013","","9788925550633","201",
"156","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","1","9791164137176","200",
"156","(흔한남매) 수수께끼 어드벤처 :수수께끼로 배우는 교과 지식","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2022","1","9791168413078","200",
"156","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","2","9791130622590","200",
"156","파친코 :이민진 장편소설 ","지은이: 이민진 ;옮긴이: 신승미","인플루엔셜","2022","1","9791168340510","200",
"156","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","7","9791168413931","200",
"161","오싹오싹 도깨비 숲 ","구도 노리코 글·그림 ;윤수정 옮김","책읽는곰","2019","","9791158361440","199",
"162","오리 부리 이야기 ","황선애 글 ;간장 그림","비룡소","2022","","9788949162386","198",
"163","(세상 쉽고 맛있는) 튼이 이유식 :큐브와 밥솥 칸막이로 한번에 3가지 9끼 이유식 완성 ","지은이: 정주희","서사원","2019","","9791196533007","197",
"164","고구마구마 ","지은이: 사이다","반달","2017","","9788956187372","195",
"164","목련 만두","백유연 (지은이)","웅진주니어","2023","","9788901269061","195",
"166","(한밤중) 달빛 식당 ","이분희 글 ;윤태규 그림","비룡소","2018","","9788949161969","193",
"166","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","193",
"168","스즈메의 문단속 ","신카이 마코토 지음 ;민경욱 옮김","대원씨아이","2023","","9791169791977","192",
"168","초밥이 빙글빙글 ","구도 노리코 글·그림 ;윤수정 옮김","책읽는곰","2016","","9791158360245","192",
"168","하얼빈 :김훈 장편소설 ","지은이: 김훈","문학동네","2022","","9788954699914","192",
"171","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","8","9791164131914","191",
"171","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","1","9791164134649","191",
"173","(흔한남매) 별난 방탈출 :탈출 미션 스토리북","흔한남매 원작 ;차차 그림","미래엔","2020","2","9791164137879","190",
"173","빵 공장이 들썩들썩 - 우당탕탕 야옹이 1","구도 노리코 (지은이), 윤수정 (옮긴이)","책읽는곰","2015","","9791185564951","190",
"173","세상의 마지막 기차역 ","무라세 다케시 지음 ;김지연 옮김","바이포엠 스튜디오","2022","","9791191043754","190",
"173","우리가 빛의 속도로 갈 수 없다면 :김초엽 소설 ","지은이: 김초엽","허블","2019","","9791190090018","190",
"173","튤립 호텔 :김지안 그림책 ","지은이: 김지안","창비","2022","","9788936455842","190",
"178","종의 기원 =정유정 장편소설 /The origin of species ","지은이: 정유정","은행나무","2016","","9788956609959","189",
"179","꽁꽁꽁 ","윤정주 글·그림","책읽는곰","2016","","9791158360276","188",
"179","엄마 자판기 ","글·그림: 조경희","노란돼지","2019","","9791159950681","188",
"179","추리 천재 엉덩이 탐정과 카레 사건 ","트롤 글·그림 ;김정화 옮김","미래엔","2019","","9791164130764","188",
"182","안녕 팝콘 ","이준혁 원작 ;강한 그림","M창비(미디어창비)","2022","","9791191248852","187",
"183","흔한남매 과학 탐험대 7 : 생물 1","김언정 (글), 흔한남매 (원작), 이현진 (글), 김덕영 (그림), 권경아 (감수), 김희목, 정현철, 권경아, 최진수 (기획)","주니어김영사","2023","","9788934944546","186",
"184","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2009","","9788989863786","185",
"185","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","3","9791164136223","184",
"185","꿈에서 맛본 똥파리 ","지은이: 백희나","책읽는곰","2014","","9791185564128","184",
"187","욕심은 그만, 레이스 장갑! :유설화 그림책 ","유설화","책읽는곰","2022","","9791158363154","183",
"187","할머니의 용궁 여행 ","권민조 글·그림","천개의바람","2020","","9791190077439","183",
"189","다정한 것이 살아남는다 ","지은이: 브라이언 헤어,옮긴이: 이민아","디플롯","2021","","9791197413025","182",
"190","도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ","애나 렘키 지음 ;김두완 옮김","흐름출판","2022","","9788965965046","181",
"190","흔한남매 불꽃 튀는 우리말 :초등 국어 고수 되기 프로젝트","원작: 흔한남매 ;그림: 유희석","다산북스","2021","4","9791130641607","181",
"190","흔한남매 이상한 나라의 고전 읽기 3 - 양반전·박씨부인전·운영전","최재훈 (글), 정주연 (그림), 흔한남매, 흔한컴퍼니 (감수)","미래엔아이세움","2023","","9791168415034","181",
"193","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","8","9791168414822","180",
"194","(흔한남매) 안 흔한 일기","흔한남매 원작 ;조병주 그림","미래엔","2020","2","9791164135158","179",
"194","흔한남매 오해요 :귀염 뽀짝 부캐들과 펼치는 초단편 콩트 만화 ","원작: 흔한남매 ;그림: 유난희","미래엔","2022","","9791168410930","179",
"196","게임하고 싶어! ","김영진 글·그림","길벗어린이","2022","","9788955826432","178",
"196","돼지책","앤서니 브라운 글·그림;허은미 옮김","웅진닷컴","2001","","9788901033518","178",
"196","하늘 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2017","","9788966350759","178",
"199","(이상한 과자 가게) 전천당","히로시마 레이코 글 ;김정화 옮김","길벗스쿨","2019","2","9791164060498","177",
"199","에그박사의 채집 일기 :스티커로 채집하는 자연 생물 관찰 만화","원작: 에그박사 ;그림: 홍종현","Mirae N 아이세움","2021","1","9791164137800","177",
