제공기관 : 국립중앙도서관
데이터 제공일 : 2023-06-27
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.
NO,서명,저자,출판사,출판년도,권,ISBN,대출건수,
"106","미중전쟁 :김진명 장편소설 ","지은이: 김진명","쌤앤파커스","2017","2","9788965705468","45",
"106","복수 법률 사무소 :도진기 장편소설 ","지은이: 도진기","황금가지","2022","3","9791170522003","45",
"106","재벌집 막내아들 1","산경 (지은이)","테라코타","2022","","9791197915987","45",
"106","전설의 보스 =이원호 장편소설 /The boss of legend ","이원호 지음","한결미디어","2021","1","9791159161490","45",
"106","한강:趙廷來 大河小說","趙廷來","해냄출판사","2007","10","9788973378401","45",
"112","(趙廷來 大河小說) 아리랑","趙廷來","해냄출판사","2007","3","9788973378074","44",
"112","2023 대한민국 산업지도 :투자자를 위한 업종별 투자 가이드 ","이래학 지음","사이다경제","2023","","9791192445199","44",
"112","객주 :김주영 장편소설","지은이: 김주영","문학동네","2013","3","9788954621106","44",
"112","밝은 밤 :최은영 장편소설 ","지은이: 최은영","문학동네","2021","","9788954681179","44",
"112","사랑의 꿈 :손보미 연작소설 ","지은이: 손보미","문학동네","2023","","9788954691505","44",
"112","염증 해방 :병 없이 오래 사는 사람들의 비밀 ","정세연 지음","다산북스","2022","","9791130694801","44",
"112","완전한 행복 :정유정 장편소설 ","지은이: 정유정","은행나무","2021","","9791167370280","44",
"112","정기룡 :하용준 역사소설 ","지은이: 하용준","은행나무","2022","3","9791167372369","44",
"120","(대한민국 최고 투자자 주식농부의) 주식투자 절대 원칙 ","박영옥 지음","센시오","2021","","9791166570421","43",
"120","권력과 안보 :문재인 정부 국방비사와 천공 의혹 ","지은이: 부승찬","해요미디어","2023","","9791196864064","43",
"120","백년운동 :척추·관절 아프지 않게 100세까지 운동하는 방법 ","저자: 정선근","아티잔","2019","","9791196834005","43",
"120","빨치산의 딸:정지아 장편소설","정지아 지음","필맥","2005","1","9788991071117","43",
"120","아무도 빌려주지 않는 인생책 ","지은이: 가우르 고팔 다스 ;옮긴이: 이나무","수오서재","2023","","9791190382946","43",
"120","작별하지 않는다 :한강 장편소설 ","지은이: 한강","문학동네","2021","","9788954682152","43",
"120","창발의 시대 :경제혁명, 종교개혁, 르네상스, 그리고 세계를 뒤흔든 40년의 역사 ","패트릭 와이먼 지음 ;장영재 옮김","로크미디어","2022","","9791140802586","43",
"120","한강:趙廷來 大河小說","趙廷來","해냄출판사","2007","3","9788973378333","43",
"120","화이트 러시 =White rush ","저자: 히가시노 게이고 ;옮긴이: 민경욱","소미미디어","2023","","9791138415477","43",
"129","거인의 탄생 :이원호의 성장, 개척, 기업소설 ","지은이: 이원호","한결미디어","2018","1","9791159161049","42",
"129","나의 문화유산답사기 :산사 순례 ","유홍준 지음","창비","2018","","9788936476694","42",
"129","돈의 속성 :최상위 부자가 말하는 돈에 대한 모든 것 ","지은이: 김승호","Snowfox(스노우폭스북스)","2020","","9791188331796","42",
"129","아침에는 죽음을 생각하는 것이 좋다 ","지은이: 김영민","어크로스","2018","","9791160560640","42",
"129","염부 :박이선 장편소설 ","지은이: 박이선","다산북스","2023","","9791130697543","42",
"129","이어령의 마지막 수업 :큰글자책 ","김지수 지음","열림원","2022","","9791170401261","42",
"129","일본 관찰 30년 :한국이 일본을 이기는 18가지 이유 ","염종순 지음","Tornado(토네이도)","2020","","9791158511630","42",
"129","전설의 보스 =이원호 장편소설 /The boss of legend ","이원호 지음","한결미디어","2021","2","9791159161506","42",
"129","종목 선정 :나에게 물어봐 ","지은이: 김정수","하움출판사","2021","","9791164408580","42",
"129","직지 :김진명 장편소설 ","지은이: 김진명","쌤앤파커스","2019","2","9788965708339","42",
"129","한강:趙廷來 大河小說","趙廷來","해냄출판사","2007","9","9788973378395","42",
"140","(박병창의 돈을 부르는) 매매의 기술 ","박병창 지음","콘텐츠그룹 포레스트","2021","","9791191347180","41",
"140","가장 큰 걱정 :먹고 늙는 것의 과학 ","류형돈 지음","Eum(이음)","2023","","9791190944939","41",
"140","검사의 죄 :윤재성 장편소설 ","지은이: 윤재성","새움(새움출판사)","2023","","9791192684376","41",
"140","브레인 리부트 :죽을 때까지 늙지 않는 두뇌의 비밀 ","크리스틴 윌르마이어 지음 ;김나연 옮김","부키","2023","","9788960519671","41",
"140","챗GPT 거대한 전환 :AI 전쟁의 승자는 누가 될 것인가? ","김수민,백선환 지음","RHK(알에이치코리아)","2023","","9788925576756","41",
"140","한강:趙廷來 大河小說","趙廷來","해냄출판사","2007","8","9788973378388","41",
"146","물고기는 존재하지 않는다 :상실, 사랑 그리고 숨어 있는 삶의 질서에 관한 이야기 ","룰루 밀러 지음 ;정지인 옮김","곰출판","2021","","9791189327156","40",
"146","인생에서 가장 후회되는 게 뭐냐고 묻는다면","노우티 (지은이)","북모먼트","2023","","9791191891331","40",
"146","전설의 보스 =이원호 장편소설 /The boss of legend ","이원호 지음","한결미디어","2021","3","9791159161513","40",
"146","주식 투자의 지혜 ","천장팅 지음 ;양성희 옮김","에프엔미디어","2021","","9791188754427","40",
"146","트러스트 :에르난 디아스 장편소설 ","지은이: 에르난 디아스 ;옮긴이: 강동혁","문학동네","2023","","9788954691673","40",
"146","한강:趙廷來 大河小說","趙廷來","해냄출판사","2007","4","9788973378340","40",
"146","한강:趙廷來 大河小說","趙廷來","해냄출판사","2007","6","9788973378364","40",
"146","혼불 :대하소설","崔明姬","매안","2009","2","9788993607024","40",
"154","(조셉 머피) 잠재의식의 힘 :삶의 기적을 일으키는 내면의 보물창고 ","조셉 머피 지음 ;조율리 옮김","다산북스","2023","","9791130642116","39",
"154","2023 제14회 젊은작가상 수상작품집","이미상, 김멜라, 성혜령, 이서수, 정선임, 함윤이, 현호정 (지은이)","문학동네","2023","","9788954691741","39",
"154","같이 가면 길이 된다 ","이상헌 지음","생각의힘","2023","","9791190955911","39",
"154","고령화 가족 :천명관 장편소설 ","지은이: 천명관","문학동네","2010","","9788954610551","39",
"154","나는 어떻게 행복할 수 있는가 - 삶의 의미와 행복을 찾아가는 인생 수업","장재형 (지은이)","미디어숲","2023","","9791158741891","39",
"154","나의 문화유산답사기 :국내편","유홍준 지음","창비","2011","11","9788936479190","39",
"154","나의 문화유산답사기 :국내편","유홍준 지음","창비","2011","12","9788936479206","39",
"154","노화의 역행 :노화를 거스르는 최신 노화과학 활용법 ","베스 베넷 지음 ;성세희 옮김","레몬한스푼","2023","","9791197781186","39",
"154","미중전쟁 :김진명 장편소설 ","지은이: 김진명","쌤앤파커스","2017","1","9788965705451","39",
"154","붕괴하는 세계와 인구학 ","피터 자이한 지음 ;홍지수 옮김","김앤김북스","2023","","9788989566885","39",
"154","재벌집 막내아들 4","산경 (지은이)","테라코타","2022","","9791197915956","39",
"154","초수익 성장주 투자 :세계에서 가장 비밀스러운 주식 투자 시스템 ","마크 미너비니 지음 ;김태훈 옮김","이레미디어","2023","","9791191328790","39",
"154","토지 :박경리 대하소설","지은이: 박경리","마로니에북스","2012","6","9788960532465","39",
"154","파친코 :이민진 장편소설 ","지은이: 이민진 ;옮긴이: 신승미","인플루엔셜","2022","1","9791168340510","39",
"154","하늘과 바람과 별과 인간 - 원자에서 인간까지","김상욱 (지은이)","바다출판사","2023","","9791166891496","39",
