title,author,genre_1,genre_2,brank,rate,count,isbn
붕괴하는 세계와 인구학,피터 자이한,"정치/사회, ","사회학, 사회학이론, ",24,8.96,50.0,9788989566885
"국가의 약탈, 상속세",상속세제 개혁포럼 외,"정치/사회, 정치/사회, ","법학, 민법, 법학, 법학일반, ",25,10.0,2.0,9791196711658
헨리 키신저 리더십,헨리 키신저,"정치/사회, ","사회학, 사회학이론, ",26,10.0,3.0,9788937417153
로스쿨 민법의 정석,정연석,"정치/사회, 정치/사회, 대학교재, ","법학, 민법, 대학교재, 법학, 정치/사회/법, 법학, ",27,10.0,15.0,9791168581302
지리의 힘 리커버 세트(블랙 & 화이트 스페셜 한정판),팀 마샬,"정치/사회, 경제/경영, ","사회학, 사회학일반, 경제이론, 세계경제/국제경제, ",28,9.83,29.0,9788993178555
지속 불가능 자본주의,사이토 고헤이,"정치/사회, 정치/사회, ","사회문제/복지, 사회문제, 사회문제/복지, 사회문제, ",29,9.23,15.0,9791191716030
선량한 차별주의자,김지혜,"정치/사회, 정치/사회, ","사회학, 사회학일반, 사회문제/복지, 사회문제, ",30,9.08,447.0,9788936477196
예정된 전쟁,그레이엄 앨리슨,"정치/사회, ","정치/외교, 외교/국제관계, ",31,9.32,85.0,9788984076778
왜 세계의 절반은 굶주리는가?,장 지글러,"정치/사회, ","사회문제/복지, 사회문제, ",32,9.64,336.0,9791187038030
미스터 프레지던트,탁현민,"정치/사회, ","정치/외교, 각국정치, ",33,9.79,264.0,9791157062805
진보 재구성과 집권 전략,원희복,"정치/사회, 정치/사회, ","정치/외교, 각국정치, 정치/외교, 정치일반, ",34,10.0,1.0,9791188485093
기후변화는 어떻게 세계 경제를 위협하는가,폴 길딩,"정치/사회, 경제/경영, 경제/경영, 과학, ","사회문제/복지, 사회문제, 경제일반, 경제전망, 경제이론, 세계경제/국제경제, 지구과학, 기상학/기후학, ",35,10.0,1.0,9791193153000
러시아 지정학 아틀라스,델핀 파팽,"정치/사회, 정치/사회, ","정치/외교, 각국정치, 정치/외교, 외교/국제관계, ",36,10.0,8.0,9791192988030
나는 대한민국 검사였다,이인규,"정치/사회, 정치/사회, ","정치/외교, 각국정치, 정치/외교, 정치일반, ",37,8.88,130.0,9791185701752
혼돈의 시대 리더의 탄생,도리스 컨스 굿윈,"정치/사회, 자기계발, ","정치/외교, 정치일반, 비즈니스능력계발, 리더십향상, ",38,9.53,216.0,9791135459757
부동산분쟁의 쟁점,이승주,"정치/사회, 경제/경영, 정치/사회, 대학교재, ","법학, 민법, 재테크/금융, 부동산, 대학교재, 법학, 정치/사회/법, 법학, ",39,10.0,1.0,9791130344652
